mincount,total,blanks,non_blanks,acc_lem, acc_lem_v, acc_lem_either
1,10320,905,9415,0.20849707912904938,0.0532129580456718,0.2617100371747212
3,14508,904,13604,0.27117024404586887,0.11511320199941194,0.3862834460452808
7,22172,1366,20806,0.2885706046332789,0.18201480342208978,0.47058540805536864
20,29621,1878,27743,0.320693508272357,0.18811952564610893,0.5088130339184659
55,48328,3036,45292,0.31875386381700965,0.2411242603550296,0.5598781241720392
148,60477,4188,56289,0.3435484730586793,0.2581499049547869,0.6016983780134663
403,58018,8134,49884,0.4184307593617192,0.25986288188597545,0.6782936412476946
1097,61708,21927,39781,0.3455921168396973,0.20906965636861818,0.5546617732083156
2981,51231,34897,16334,0.39702461124035754,0.00042855393657401737,0.3974531651769316
8103,87781,48196,39585,0.63966148793735,0.0,0.63966148793735
22026,105112,92369,12743,0.000784744565643883,0.00015694891312877657,0.0009416934787726595
